Step,311,312,lr1,lr2
21848,0.024478285,0.067755431,0.139665604,0.139665604
22245,0.094771951,0.050101582,0.113584936,0.113584936
22292,0.037794434,0.154798001,0.154007941,0.154007941
22330,0.019852279,0.018696897,0.25859341,0.25859341
22358,0.033864185,0.208740845,0.226348028,0.226348028
22472,0.042630017,0.097645484,0.192312732,0.192312732
22840,0.05792059,0.093328647,0.132015318,0.132015318
23138,0.091160618,0.146677643,0.125512108,0.125512108
23148,0.080801874,0.175971866,0.209113941,0.209113941
23192,0.085651062,0.151907101,0.12710014,0.12710014
23218,0.136237592,0.03557729,0.281952292,0.281952292
23286,0.027012911,0.050776847,0.127904087,0.127904087
23361,0.05887153,0.060038269,0.176213443,0.176213443
23427,0.074607968,0.139236331,0.083110943,0.083110943
23540,0.054411996,0.113046616,0.183862597,0.183862597
23670,0.080572322,0.091562614,0.117180906,0.117180906
23681,0.045968685,0.113365903,0.152027041,0.152027041
23701,0.099134304,0.097386219,0.232102573,0.232102573
23938,0.086621523,0.053501263,0.073134683,0.073134683
24147,0.046773955,0.150129676,0.288015127,0.288015127
24282,0.059904218,0.120100796,0.141982645,0.141982645
24284,0.023989424,0.102078222,0.114635974,0.114635974
24322,0.048340268,0.09154024,0.173438177,0.173438177
24345,0.059448246,0.074854448,0.225524694,0.225524694
24621,0.090020344,0.085379034,0.132095307,0.132095307
24719,0.051438745,0.043273024,0.082563356,0.082563356
24727,0.098255292,0.120496601,0.198306382,0.198306382
24901,0.110939905,0.132852152,0.234196931,0.234196931
24934,0.081939705,0.02771686,0.198140144,0.198140144
25008,0.056584075,0.162066817,0.203433096,0.203433096
25253,0.088021696,0.110150985,0.197601885,0.197601885
25332,0.088599034,0.095160067,0.410092831,0.410092831
25391,0.098184869,0.121503644,0.152983367,0.152983367
25812,0.076634161,0.154368177,0.245147854,0.245147854
25847,0.099636354,0.133300751,0.226467997,0.226467997
25921,0.236966193,0.084706947,0.221440464,0.221440464
26066,0.101651207,0.101908073,0.266060919,0.266060919
26155,0.117492348,0.179097503,0.217199609,0.217199609
26303,0.030680321,0.068032674,0.064273417,0.064273417
26470,0.078226849,0.129098833,0.157777667,0.157777667
26797,0.10899961,0.175617799,0.071897782,0.071897782
26798,0.107235596,0.111516342,0.264354706,0.264354706
26829,0.11942371,0.129616186,0.138016179,0.138016179
27142,0.094574668,0.043962426,0.275168449,0.275168449
27154,0.072233483,0.126500547,0.08315438,0.08315438
27158,0.069305226,0.157284141,0.296666861,0.296666861
27159,0.066524297,0.139389127,0.109310538,0.109310538
27274,0.057057299,0.109413929,0.188691169,0.188691169
27505,0.087038532,0.071102574,0.237871721,0.237871721
27603,0.113923967,0.142915666,0.16527994,0.16527994
27638,0.026040105,0.07092353,0.069144309,0.069144309
27825,0.093435481,0.146430656,0.170393974,0.170393974
27916,0.080125034,0.162793383,0.225718677,0.225718677
27968,0.117998153,0.189216554,0.216842517,0.216842517
28438,0.134456038,0.051578008,0.286150932,0.286150932
28451,0.143281475,0.119699582,0.107935041,0.107935041
28543,0.069329642,0.115831323,0.243816003,0.243816003
28572,0.050651506,0.124438062,0.159522027,0.159522027
28970,0.13966991,0.113186754,0.077322684,0.077322684
28996,0.130186111,0.131997049,0.126122758,0.126122758
29062,0.135680631,0.173045173,0.163765788,0.163765788
29201,0.094111748,0.155086756,0.262142539,0.262142539
29263,0.078145899,0.077610239,0.110852011,0.110852011
29471,0.037991367,0.091882214,0.181305081,0.181305081
29487,0.042970106,0.048995592,0.26115492,0.26115492
29561,0.16848579,0.210219473,0.205567896,0.205567896
29611,0.098210469,0.019822726,0.128005236,0.128005236
29829,0.115431353,0.182988942,0.115759239,0.115759239
30005,0.088212684,0.085761532,0.186582297,0.186582297
30031,0.11554648,0.150619298,0.098419175,0.098419175
30092,0.147680596,0.125409961,0.223617762,0.223617762
30174,0.071608253,0.183315188,0.150922582,0.150922582
30243,0.132760853,0.093516603,0.115428478,0.115428478
30327,0.085231915,0.088920482,0.282658905,0.282658905
30470,0.152665794,0.215839952,0.010706333,0.010706333
30612,0.171252653,0.150547549,0.108775601,0.108775601
30706,0.176194191,0.200012296,0.082122035,0.082122035
30720,0.174719214,0.196673572,0.365269125,0.365269125
31406,0.105371743,0.178745031,0.240258038,0.240258038
31443,0.185998544,0.113636263,0.255752623,0.255752623
31696,0.192888498,0.228509188,0.120147884,0.120147884
31880,0.102497488,0.162591502,0.301972538,0.301972538
31936,0.172549278,0.179273948,0.245768294,0.245768294
31945,0.117318727,0.13287273,0.190207005,0.190207005
32004,0.11545606,0.083952919,0.141264379,0.141264379
32174,0.145303965,0.148695335,0.133589149,0.133589149
32207,0.167336494,0.123206675,0.239764631,0.239764631
32435,0.028493885,0.098215945,0.141544253,0.141544253
32542,0.108163163,0.146616355,0.152439281,0.152439281
32657,0.188315004,0.170844406,0.207604229,0.207604229
32762,0.136493057,0.139754087,0.159565657,0.159565657
32894,0.119525969,0.115836255,0.171516299,0.171516299
32902,0.142831206,0.177853286,0.271544158,0.271544158
33034,0.068778358,0.225284278,0.320773423,0.320773423
33152,0.116641313,0.106101975,0.28746292,0.28746292
33179,0.127278447,0.021628069,0.114849254,0.114849254
33181,0.138446391,0.142466411,0.181397036,0.181397036
33271,0.102439821,0.076523967,0.171333298,0.171333298
33341,0.089329578,0.096477732,0.191571653,0.191571653
33375,0.1543549,0.167153612,0.166699052,0.166699052
33403,0.081546277,0.099616311,0.27926904,0.27926904
33728,0.069152474,0.13974902,0.153538197,0.153538197
33737,0.144978017,0.110135764,0.166419953,0.166419953
33749,0.121579081,0.100175515,0.139283508,0.139283508
33768,0.10870792,0.143345311,0.213694394,0.213694394
33785,0.076376431,0.163614005,0.244008169,0.244008169
33839,0.093339533,0.138246194,0.277064204,0.277064204
33851,0.131507486,0.152222127,0.119635224,0.119635224
33876,0.117616594,0.14076829,0.390377164,0.390377164
33913,0.108415432,0.172872096,0.277213305,0.277213305
34017,0.16972506,0.109949052,0.197945178,0.197945178
34036,0.157455057,0.077001773,0.256717384,0.256717384
34141,0.144055381,0.127608106,0.227683485,0.227683485
34362,0.080003321,0.036719181,0.160890967,0.160890967
34383,0.121907875,0.20333229,0.156918988,0.156918988
34525,0.15588665,0.187511206,0.144261658,0.144261658
34599,0.146680787,0.108236827,0.301172048,0.301172048
34783,0.159759253,0.104011774,0.219623208,0.219623208
35333,0.189756721,0.174829483,0.125734508,0.125734508
35354,0.115724124,0.242979467,0.183670685,0.183670685
35362,0.128882051,0.172414377,0.163410217,0.163410217
35377,0.07318227,0.193444043,0.2127617,0.2127617
35483,0.091912195,0.038238477,0.127846479,0.127846479
35573,0.159713537,0.158733711,0.172754467,0.172754467
35771,0.1734633,0.126779899,0.127686337,0.127686337
35778,0.179686815,0.194372773,0.16522336,0.16522336
35849,0.178121954,0.12865904,0.264448047,0.264448047
35953,0.094746359,0.118691981,0.374729723,0.374729723
35970,0.035821728,0.217407286,0.161090493,0.161090493
36037,0.177590564,0.165036708,0.156620488,0.156620488
36246,0.163385659,0.157810688,0.170106933,0.170106933
36275,0.131855965,0.143265456,0.119221509,0.119221509
36629,0.120826595,0.107589535,0.187661678,0.187661678
36659,0.103836611,0.141017675,0.159154058,0.159154058
36767,0.16950953,0.12394236,0.109855905,0.109855905
36819,0.146625534,0.193846256,0.083010696,0.083010696
36850,0.130426273,0.079346023,0.270784885,0.270784885
36907,0.132152721,0.132084936,0.118551061,0.118551061
37202,0.074020706,0.093238927,0.22226432,0.22226432
37455,0.055280536,0.117153123,0.232933,0.232933
37489,0.254116893,0.029952962,0.082250275,0.082250275
37764,0.355885923,0.086176053,0.153458923,0.153458923
37876,0.095082812,0.078424677,0.110371858,0.110371858
38192,0.082311906,0.095910922,0.208474681,0.208474681
38439,0.125694096,0.134976208,0.175598174,0.175598174
38455,0.302630246,0.025882687,0.162591591,0.162591591
38720,0.140033156,0.068792373,0.188424975,0.188424975
38840,0.105425738,0.11625585,0.208680674,0.208680674
38981,0.211788833,0.16022414,0.184083581,0.184083581
39005,0.124540135,0.187446341,0.269491434,0.269491434
39296,0.221210197,0.159444571,0.226613551,0.226613551
39702,0.08210966,0.101915479,0.288236946,0.288236946
39730,0.141551659,0.119194075,0.289803267,0.289803267
39781,0.10421513,0.126656935,0.180514574,0.180514574
39878,0.126997456,0.189247519,0.261666477,0.261666477
39909,0.068283871,0.149248242,0.293408453,0.293408453
39914,0.091473863,0.1523799,0.158206716,0.158206716
40020,0.143915325,0.177740484,0.153809831,0.153809831
40296,0.092136279,0.127457231,0.124716833,0.124716833
40500,0.15479143,0.19517222,0.182552278,0.182552278
40647,0.143620878,0.192162186,0.141301215,0.141301215
40663,0.14313297,0.150642976,0.273021877,0.273021877
40667,0.206819057,0.188886344,0.186635777,0.186635777
40700,0.176523924,0.146824002,0.212802202,0.212802202
40720,0.151569366,0.132239431,0.189686969,0.189686969
40793,0.221132994,0.218134716,0.097324967,0.097324967
41040,0.190264225,0.172783032,0.135137841,0.135137841
41244,0.161155581,0.122809,0.113731936,0.113731936
41271,0.235512227,0.24311392,0.165410191,0.165410191
41341,0.210870743,0.146156788,0.193996653,0.193996653
41539,0.166886121,0.175490752,0.123423316,0.123423316
41555,0.133435458,0.14050594,0.124513268,0.124513268
42013,0.161637321,0.166708261,0.188379869,0.188379869
42134,0.186094075,0.141459867,0.201378882,0.201378882
42244,0.13103497,0.162592664,0.246601567,0.246601567
42450,0.204709858,0.142490596,0.174627066,0.174627066
42468,0.184781611,0.147061735,0.116460919,0.116460919
42678,0.192869872,0.170308888,0.129627079,0.129627079
42981,0.147972226,0.19670175,0.192846075,0.192846075
