Step5,bce5,mse5,Step,bce,mse
3611,328.9637451,266.8588465,3611,259.556747,254.8480088
3711,326.1470581,263.3942417,3711,254.0808804,250.3209668
3768,324.5869879,260.3386219,3768,253.7894998,246.8243821
3868,321.167965,260.5941487,3868,251.7240986,250.0382838
3925,318.3518186,259.2958621,3925,252.7362858,249.5528835
4025,319.4821976,257.0279717,4025,250.0506283,246.9656985
4082,316.926324,254.1313116,4082,248.25939,243.184833
4182,312.4929629,252.7787396,4182,243.6289781,242.6689845
4239,315.9364065,251.4291233,4239,244.5767573,241.9917031
4339,311.8158249,250.7229313,4339,246.8102889,242.4668031
4396,313.1876238,249.4917881,4396,245.0837841,241.6557422
4496,317.413176,248.3004523,4496,244.4103561,240.8402798
4553,316.9870988,245.8703842,4553,240.9563824,237.4721781
4653,318.3642953,244.6723793,4653,237.8724912,236.7558095
4710,316.2590273,244.493299,4710,232.7487925,237.9809629
4810,311.001133,243.3910531,4810,230.2032363,237.0789384
4867,310.8942661,242.640876,4867,227.4599981,236.8410072
4967,311.4522974,241.1605317,4967,226.1134605,235.0402923
5024,307.8692991,239.2044761,5024,227.4603546,232.352229
5124,309.4442497,238.816487,5124,223.838349,232.9467002
5181,309.0477648,237.9957102,5181,221.5425206,232.4791039
5281,303.2873212,238.3483776,5281,224.1067948,234.2877601
5338,300.3426772,236.632946,5338,224.4804066,231.6690203
5438,305.1453907,236.1198971,5438,224.2062369,231.6357076
5495,304.4499678,236.5943209,5495,224.5212426,233.4813932
5595,302.9715879,235.8382183,5595,222.541579,232.5917735
5652,301.7293149,235.404604,5652,224.3102835,232.3738338
5752,300.3513328,234.8416216,5752,220.7293242,231.8540231
5809,299.4635109,234.8203425,5809,220.5027343,232.4089845
5909,299.1096128,234.0319178,5909,218.8680382,231.3144068
5966,295.9305607,236.1305525,5966,217.4153626,236.0551784
6066,296.1186021,235.3067368,6066,214.709643,234.4226218
6123,292.7265478,233.5153255,6123,216.4955983,231.0166222
6223,293.0415364,232.4511602,6223,215.59715,229.3880322
6280,292.7930285,231.2633104,6280,217.2059671,227.6249583
6380,297.8650929,232.1732495,6380,218.0760316,230.1725069
6437,300.2540566,232.3289592,6437,218.5651283,230.8840749
6537,301.0407084,231.2044236,6537,217.6482635,228.9239805
6594,297.2380689,230.6871062,6594,217.7458355,228.3454344
6694,297.788969,230.8379604,6694,216.7453867,229.1154771
6751,299.247096,228.7812884,6751,216.7619679,225.3466298
6851,303.0516986,229.4096583,6851,214.9092203,227.2903012
6908,299.571074,229.3279484,6908,214.5213094,227.550753
7008,299.5837939,229.2718275,7008,214.0598637,227.7939501
7065,293.5473368,228.3759237,7065,214.3721036,226.2977181
7165,289.5791616,228.9525983,7165,215.4243796,227.8667084
7222,287.6266288,227.4125311,7222,211.9522478,225.0037519
7322,284.8223887,227.3050487,7322,211.9826265,225.270543
7379,281.2042703,227.9455979,7379,211.4192555,226.9585426
7479,279.2084161,228.7108968,7479,213.4470621,228.6865514
7536,276.5045193,228.0613068,7536,211.679839,227.3922404
7636,274.5223352,226.692226,7636,212.291619,224.7878921
7693,274.5644621,225.9300224,7693,214.393247,223.6443517
7793,273.6322712,227.0462212,7793,215.0681895,226.3338835
7850,275.2215801,226.8429419,7850,214.8569137,226.0697923
7950,281.4759938,225.5926061,7950,213.3111047,223.7237507
8007,281.9068673,224.8842641,8007,216.3187263,222.6808378
8107,281.2906495,225.2669879,8107,213.2647009,223.8869706
8164,282.0883546,225.058505,8164,212.6280784,223.7460084
8264,280.6470454,224.7325129,8264,213.5891266,223.3565235
8321,282.1283949,225.2320995,8321,213.3396759,224.6308945
8421,282.8147803,225.294264,8421,214.1672394,224.8754645
